##var,id,equipment_id,trigger,element,buff_id,duration,magnitude,stack_amount,max_stacks,cooldown
##type,string,string,EEquipmentEffectTrigger,EElement,string,float,float,int,int,float
##,id,equipment_id,trigger,element,buff_id,duration,magnitude,stack_amount,max_stacks,cooldown
,ember_edge_hit,ember_edge,ON_HIT,FIRE,burning,8,0.12,1,5,0
,cinder_guard_hit,cinder_guard,ON_TAKE_DAMAGE,FIRE,heat_guard,4,-0.1,1,1,8
,flare_steps_dodge,flare_steps,ON_DODGE,FIRE,afterburn,3,0.15,1,1,4
,ash_visor_hit,ash_visor,ON_HIT,FIRE,scorch,6,0.1,1,3,0
,phoenix_core_low,phoenix_core,ON_LOW_HEALTH,FIRE,phoenix_guard,6,0.15,1,1,30
,tide_blade_hit,tide_blade,ON_HIT,WATER,wet,6,0.15,1,3,0
,abyssal_shell_hit,abyssal_shell,ON_TAKE_DAMAGE,WATER,abyssal_guard,5,-0.1,1,1,8
,ripple_boots_dodge,ripple_boots,ON_DODGE,WATER,flow,3,0.12,1,1,4
,mist_visor_hit,mist_visor,ON_HIT,WATER,mist,4,0.15,1,1,0
,aqua_orbit_hit,aqua_orbit,ON_HIT,WATER,tide_echo,5,0.02,1,3,2
,gale_fang_hit,gale_fang,ON_HIT,WIND,wind_mark,6,0.1,1,3,0
,skyward_frame_dodge,skyward_frame,ON_DODGE,WIND,air_current,3,0.12,1,1,4
,zephyr_steps_dodge,zephyr_steps,ON_DODGE,WIND,zephyr,3,0.15,1,1,5
,aero_visor_hit,aero_visor,ON_HIT,WIND,gale_expose,5,0.08,1,3,0
,cyclone_charm_mark,cyclone_charm,ON_MARK_REACHED,WIND,cyclone,3,0.2,1,1,6
,seismic_maul_hit,seismic_maul,ON_HIT,EARTH,fracture,6,0.1,1,3,0
,granite_bastion_hit,granite_bastion,ON_TAKE_DAMAGE,EARTH,bastion,5,0.15,1,1,10
,faultline_greaves_dodge,faultline_greaves,ON_DODGE,EARTH,quake_step,3,0.2,1,1,5
,bedrock_helm_low,bedrock_helm,ON_LOW_HEALTH,EARTH,fortify,5,0.1,1,1,12
,geode_seal_mark,geode_seal,ON_MARK_REACHED,EARTH,shatter,3,0.2,1,1,6
