##var,id,name,category,quality,max_stack,icon,description
##type,string,string,EItemCategory,int,int,string,string
##,id,name,category,quality,max_stack,icon,description
,training_chip,训练芯片,MATERIAL,1,99,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png,用于新手训练的基础材料
,healing_canister,急救罐,CONSUMABLE,2,10,Assets/Arts/UI/Icons/GameIcons/electric.png,恢复生命值的消耗品
,upgrade_module,强化模块,MATERIAL,3,20,Assets/Arts/UI/Icons/GameIcons/orbital.png,用于强化角色与装备
,thunder_blade,雷鸣刀,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png,附带雷属性伤害的单手武器
,training_armor,训练外骨骼,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png,提高防御与生命值的训练外骨骼
,neon_boots,霓虹战靴,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/gem-chain.png,提升移动能力与生命值的战靴
,city_helmet,城市头盔,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png,提供基础防御的城市头盔
,shock_gloves,震荡手套,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/electric.png,强化攻击力的震荡手套
,thunder_ring,雷鸣指环,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/globe-ring.png,提高雷属性伤害的饰品
,arc_edge,电弧刃,EQUIPMENT,3,1,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png,释放电弧能量的近战武器
,pulse_lance,脉冲长枪,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png,积蓄脉冲后强化攻击的长枪
,prism_katana,棱镜太刀,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/lightning-saber.png,折射多种能量的高阶太刀
,carbon_shell,碳纤护甲,EQUIPMENT,2,1,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png,轻量化碳纤维防护装甲
,ion_guard,离子护甲,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png,稳定离子场并提升防御的护甲
,prism_vest,棱镜战甲,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/intricate-necklace.png,折射伤害并提升生命上限的战甲
,metro_runners,都市疾行靴,EQUIPMENT,2,1,Assets/Arts/UI/Icons/GameIcons/gem-chain.png,适合城市移动的轻型战靴
,shock_treads,震荡战靴,EQUIPMENT,4,1,Assets/Arts/UI/Icons/GameIcons/gem-chain.png,缓冲冲击并提高机动性的战靴
,neon_stride,霓虹跃迁靴,EQUIPMENT,5,1,Assets/Arts/UI/Icons/GameIcons/gem-chain.png,搭载跃迁助推器的高阶战靴
,signal_visor,信号目镜,EQUIPMENT,2,1,Assets/Arts/UI/Icons/GameIcons/cyber-eye.png,强化侦测能力的头部装备
