##var,id,level_id,spawn_id,archetype_id,prefab_location,pos_x,pos_y,pos_z,rot_y
##type,string,string,string,string,string,float,float,float,float
##,id,level_id,spawn_id,archetype_id,prefab_location,pos_x,pos_y,pos_z,rot_y
,combat_001_enemy_01,combat_001,enemy_01,kaykit_knight,Assets/Prefabs/Enemies/Enemy_KayKitKnight.prefab,14.87,-1.5,18.59,0
,combat_001_enemy_02,combat_001,enemy_02,kaykit_knight,Assets/Prefabs/Enemies/Enemy_KayKitKnight.prefab,-6.69,-1.5,24.13,0
,combat_001_enemy_03,combat_001,enemy_03,kaykit_knight,Assets/Prefabs/Enemies/Enemy_KayKitKnight.prefab,-0.66,-1.5,24.13,0
,combat_001_enemy_04,combat_001,enemy_04,kaykit_knight,Assets/Prefabs/Enemies/Enemy_KayKitKnight.prefab,14.87,-1.5,13.26,0
,combat_001_enemy_05,combat_001,enemy_05,kaykit_knight,Assets/Prefabs/Enemies/Enemy_KayKitKnight.prefab,14.87,-1.5,0.54,0
,combat_002_scout_01,combat_002,scout_01,scout_knight,Assets/Prefabs/Enemies/Enemy_ScoutKnight.prefab,-35,0,-45,160
,combat_002_scout_02,combat_002,scout_02,scout_knight,Assets/Prefabs/Enemies/Enemy_ScoutKnight.prefab,-60,0,-45,20
,combat_002_elite_01,combat_002,elite_01,elite_knight,Assets/Prefabs/Enemies/Enemy_EliteKnight.prefab,-35,0,-34,180
,combat_002_elite_02,combat_002,elite_02,elite_knight,Assets/Prefabs/Enemies/Enemy_EliteKnight.prefab,-60,0,-34,225
,combat_002_scout_03,combat_002,scout_03,scout_knight,Assets/Prefabs/Enemies/Enemy_ScoutKnight.prefab,-47,0,-52,45
,combat_002_elite_03,combat_002,elite_03,elite_knight,Assets/Prefabs/Enemies/Enemy_EliteKnight.prefab,-47,0,-40,180
,boss_001_boss,boss_001,boss_rusk,boss_rusk,Assets/Prefabs/Enemies/Enemy_BossRuskPrototype.prefab,-47,0,-48,180
,boss_001_guard_01,boss_001,elite_guard_01,elite_knight,Assets/Prefabs/Enemies/Enemy_EliteKnight.prefab,-36,0,-42,225
,boss_001_guard_02,boss_001,elite_guard_02,elite_knight,Assets/Prefabs/Enemies/Enemy_EliteKnight.prefab,-58,0,-42,135
